Year,Round,College Code,College,Course,3AG,3AH,3AK,3AKH,3AR,3ARH,GM,GMH,GMK,GMKH,GMR,GMRH
2022,R1,E082,"J S S Academy of Technical Education Bangalore","Computer Science and Engineering",10461,,21061,,15116,,10213,,15765,,13910,
2022,R1,E082,"J S S Academy of Technical Education Bangalore","Information Science and Engineering",14762,,,,,,14046,,24929,,17611,
2022,R1,E082,"J S S Academy of Technical Education Bangalore","Robotics and Automation",,,,,,,30063,,51740,,40119,
2022,R1,E083,"H.K.B.K.College of Engineering Bangalore","Artificial Intelligence and Machine Learning",58141,,,,,,53536,,71681,,62594,
2022,R1,E083,"H.K.B.K.College of Engineering Bangalore","Computer Science and Engineering",40261,,,,,,39398,,39972,,43763,
2022,R1,E083,"H.K.B.K.College of Engineering Bangalore","Information Science and Engineering",50174,,,,56190,,49784,,51589,,55111,
2022,R1,E085,"APS College of Engineering Somanahalli, Bangalore","Computer Science and Engineering",34617,,,,,,32614,,40542,,35776,
2022,R1,E085,"APS College of Engineering Somanahalli, Bangalore","Information Science and Engineering",46768,,,,,,45857,,54837,,49533,
2022,R1,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg) Anekal,Bangalore","Artificial Intelligence and Machine Learning",58608,,,,,,55187,,88577,,69275,
2022,R1,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg) Anekal,Bangalore","Computer Science and Engineering",43223,,,,,,43120,,45570,,44912,
2022,R1,E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg) Anekal,Bangalore","Information Science and Engineering",55034,,,,,,53332,,,,56468,
2022,R1,E087,"Vivekananada Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",56771,,100769,,,,54009,,75479,,65432,
2022,R1,E087,"Vivekananada Institute of Technology Bangalore","Computer Science and Engineering",37839,,,,,,36937,,46305,,41327,
2022,R1,E087,"Vivekananada Institute of Technology Bangalore","Information Science and Engineering",47693,,,,,,46753,,47589,,49956,
2022,R1,E088,"Bangalore College of Engineering and Technology Chandapura, Bangalore","Computer Science and Engineering",35294,,,,,,33655,,,,34706,
2022,R1,E088,"Bangalore College of Engineering and Technology Chandapura, Bangalore","Information Science and Engineering",,,,,,,48524,,58246,,51592,
2022,R1,E090,"Sri Revana Siddeswara Institute of Technology Bangalore North","Computer Science and Engineering",38426,,,,,,36296,,40616,,37669,
2022,R1,E091,"K S Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",34949,,,,,,32947,,54705,,40622,
2022,R1,E091,"K S Institute of Technology Bangalore","Computer Science and Design",40976,,,,,,39585,,66828,,75597,
2022,R1,E091,"K S Institute of Technology Bangalore","Computer Science and Engineering",25019,,,,,,24364,,31889,,27452,
2022,R1,E091,"K S Institute of Technology Bangalore","Computer Science - Internet of Things",,,,,,,38009,,,,63135,
2022,R1,E092,"Vemana Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",52548,,,,,,51739,,87172,,68297,
2022,R1,E092,"Vemana Institute of Technology Bangalore","Computer Science and Engineering",37133,,,,,,36955,,41816,,43273,
2022,R1,E092,"Vemana Institute of Technology Bangalore","Information Science and Engineering",49796,,,,56075,,48309,,63268,,54397,
2022,R1,E094,"Coorg Institute of Technology Kodagu","Computer Science and Engineering",47145,,,,,,45507,,,,50369,
2022,R1,E095,"AMC Engineering College Bangalore","Artificial Intelligence and Machine Learning",42286,,,,,,41424,,,,50721,
2022,R1,E095,"AMC Engineering College Bangalore","Computer Science (AI and Machine Learning)",47780,,87234,,,,47052,,62382,,57409,
2022,R1,E095,"AMC Engineering College Bangalore","Computer Science and Engineering",33026,,,,34236,,30869,,32517,,33829,
2022,R1,E095,"AMC Engineering College Bangalore","Computer Science and Engineering - Data Science",46393,,,,,,46082,,49133,,53436,
2022,R1,E095,"AMC Engineering College Bangalore","Information Science and Engineering",38353,,,,,,38330,,45712,,41570,
2022,R1,E096,"East Point College of Engineering and Technology Bangalore","Artificial Intelligence and Data Science",55700,,,,,,55533,,80828,,61666,
2022,R1,E096,"East Point College of Engineering and Technology Bangalore","Computer Science and Engineering",34519,,,,,,33328,,36339,,39593,
2022,R1,E096,"East Point College of Engineering and Technology Bangalore","Information Science and Engineering",48573,,,,,,48106,,56782,,53671,
2022,R1,E097,"C M R Institute of Technology Bangalore","Artificial Intelligence and Data Science",23188,,,,,,22888,,31281,,26960,
2022,R1,E097,"C M R Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",21313,,,,,,20394,,24084,,28042,
2022,R1,E097,"C M R Institute of Technology Bangalore","Computer Science (AI and Machine Learning)",16824,,,,,,16174,,38159,,22932,
2022,R1,E097,"C M R Institute of Technology Bangalore","Computer Science and Engineering",10915,,23420,,14149,,10280,,16281,,14121,
2022,R1,E097,"C M R Institute of Technology Bangalore","Computer Science and Engineering - Data Science",17830,,,,,,17165,,26557,,21739,
2022,R1,E097,"C M R Institute of Technology Bangalore","Information Science and Engineering",14714,,,,,,14017,,23288,,15734,
